Date,Open,High,Low,Close,Volume,Adj Close
2020-09-29,114.55000305175781,115.30999755859375,113.56999969482422,114.08999633789062,99382200,110.97737121582031
2020-09-30,113.79000091552734,117.26000213623047,113.62000274658203,115.80999755859375,142675200,112.65045166015625
2020-10-01,117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,116120400,113.60370635986328
2020-10-02,112.88999938964844,115.37000274658203,112.22000122070312,113.0199966430664,144712000,109.93656921386719
2020-10-05,113.91000366210938,116.6500015258789,113.55000305175781,116.5,106243800,113.32162475585938
2020-10-06,115.69999694824219,116.12000274658203,112.25,113.16000366210938,161498200,110.07276153564453
2020-10-07,114.62000274658203,115.55000305175781,114.12999725341797,115.08000183105469,96849000,111.94036102294922
2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,83477200,111.8333740234375
2020-10-09,115.27999877929688,117.0,114.91999816894531,116.97000122070312,100506900,113.77880859375
2020-10-12,120.05999755859375,125.18000030517578,119.27999877929688,124.4000015258789,240226800,121.00609588623047
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,262330500,117.79609680175781
2020-10-14,121.0,123.02999877929688,119.62000274658203,121.19000244140625,150712000,117.88365936279297
2020-10-15,118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,112559200,117.41675567626953
2020-10-16,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,115393800,115.77286529541016
2020-10-19,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,120639300,112.81581115722656
2020-10-20,116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,124423700,114.30406951904297
2020-10-21,116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,89946000,113.68152618408203
2020-10-22,117.44999694824219,118.04000091552734,114.58999633789062,115.75,101988000,112.59208679199219
2020-10-23,116.38999938964844,116.55000305175781,114.27999877929688,115.04000091552734,82572600,111.9014663696289
2020-10-26,114.01000213623047,116.55000305175781,112.87999725341797,115.05000305175781,111850700,111.91118621826172
2020-10-27,115.48999786376953,117.27999877929688,114.54000091552734,116.5999984741211,92276800,113.41887664794922
2020-10-28,115.05000305175781,115.43000030517578,111.0999984741211,111.19999694824219,143937800,108.16622924804688
2020-10-29,112.37000274658203,116.93000030517578,112.19999694824219,115.31999969482422,146129200,112.17379760742188
2020-10-30,111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156,190272600,105.89006042480469
2020-11-02,109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,122866900,105.80249786376953
2020-11-03,109.66000366210938,111.48999786376953,108.7300033569336,110.44000244140625,107624400,107.42695617675781
2020-11-04,114.13999938964844,115.58999633789062,112.3499984741211,114.94999694824219,138235500,111.81390380859375
2020-11-05,117.94999694824219,119.62000274658203,116.87000274658203,119.02999877929688,126387100,115.7825927734375
2020-11-06,118.31999969482422,119.19999694824219,116.12999725341797,118.69000244140625,114457900,115.65106201171875
2020-11-09,120.5,121.98999786376953,116.05000305175781,116.31999969482422,154515300,113.34173583984375
2020-11-10,115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,138023400,113.00069427490234
2020-11-11,117.19000244140625,119.62999725341797,116.44000244140625,119.48999786376953,112295000,116.43058776855469
2020-11-12,119.62000274658203,120.52999877929688,118.56999969482422,119.20999908447266,103162300,116.1577377319336
2020-11-13,119.44000244140625,119.66999816894531,117.87000274658203,119.26000213623047,81581900,116.20647430419922
2020-11-16,118.91999816894531,120.98999786376953,118.1500015258789,120.30000305175781,91183000,117.21983337402344
2020-11-17,119.55000305175781,120.66999816894531,118.95999908447266,119.38999938964844,74271000,116.3331298828125
2020-11-18,118.61000061035156,119.81999969482422,118.0,118.02999877929688,76322100,115.00794219970703
2020-11-19,117.58999633789062,119.05999755859375,116.80999755859375,118.63999938964844,74113000,115.60234069824219
2020-11-20,118.63999938964844,118.7699966430664,117.29000091552734,117.33999633789062,73604300,114.33563232421875
2020-11-23,117.18000030517578,117.62000274658203,113.75,113.8499984741211,127959300,110.93496704101562
2020-11-24,113.91000366210938,115.8499984741211,112.58999633789062,115.16999816894531,113874200,112.22118377685547
2020-11-25,115.55000305175781,116.75,115.16999816894531,116.02999877929688,76499200,113.05916595458984
2020-11-27,116.56999969482422,117.48999786376953,116.22000122070312,116.58999633789062,46691300,113.60481262207031
2020-11-30,116.97000122070312,120.97000122070312,116.80999755859375,119.05000305175781,169410200,116.0018539428711
2020-12-01,121.01000213623047,123.47000122070312,120.01000213623047,122.72000122070312,127728200,119.57786560058594
2020-12-02,122.0199966430664,123.37000274658203,120.88999938964844,123.08000183105469,89004200,119.92865753173828
2020-12-03,123.5199966430664,123.77999877929688,122.20999908447266,122.94000244140625,78967600,119.79225158691406
2020-12-04,122.5999984741211,122.86000061035156,121.5199966430664,122.25,78260400,119.11990356445312
2020-12-07,122.30999755859375,124.56999969482422,122.25,123.75,86712000,120.5815200805664
2020-12-08,124.37000274658203,124.9800033569336,123.08999633789062,124.37999725341797,82225500,121.19537353515625
